species_id,common_name,scientific_name
hry_redpol,Hoary Redpoll,Acanthis hornemanni
hud_godwit,Hudsonian Godwit,Limosa haemastica
killdeer,Killdeer,Charadrius vociferus
king_eider,King Eider,Somateria spectabilis
kingfisher,Belted Kingfisher,Megaceryle alcyon
kit_murlet,Kittlitz's Murrelet,Brachyramphus brevirostris
la_longspr,Lapland Longspur,Calcarius lapponicus
lea_auklet,Least Auklet,Aethia pusilla
les_yelolg,Lesser Yellowlegs,Tringa flavipes
lesr_scaup,Lesser Scaup,Aythya affinis
lgtl_duck,Long-tailed Duck,Clangula hyemalis
li_sparrow,Lincoln's Sparrow,Melospiza lincolnii
lngbl_dowi,Long-billed Dowitcher,Limnodromus scolopaceus
lt_jaeger,Long-tailed Jaeger,Stercorarius longicaudus
mac_warblr,Mangrove Warbler,Setophaga petechia
mbl_godwit,Marbled Godwit,Limosa fedoa
mbl_murlet,Marbled Murrelet,Brachyramphus marmoratus
mc_bunting,McKay's Bunting,Plectrophenax hyperboreus
mew_gull,Short-billed Gull,Larus brachyrhynchus
no_flicker,Northern Flicker,Colaptes auratus
no_harrier,Northern Harrier,Circus cyaneus
no_shrike,Northern Shrike,Lanius excubitor
no_wheater,Northern Wheatear,Oenanthe oenanthe
nor_hawk_o,Northern Hawk-Owl,Surnia ulula
oc_warbler,Orange-crowned Warbler,Leiothlypis celata
os_flyctch,Olive-sided Flycatcher,Contopus cooperi
pac_goldnp,Pacific Golden Plover,Pluvialis fulva
pacif_loon,Pacific Loon,Gavia pacifica
pacif_wren,Pacific Wren,Troglodytes pacificus
par_auklet,Parakeet Auklet,Aethia psittacula
pe_cormrnt,Pelagic Cormorant,Phalacrocorax pelagicus
pe_sndpipr,Pectoral Sandpiper,Calidris melanotos
peal_falcn,Peale's Falcon,Falco peregrinus pealei
per_falcon,Peregrine Falcon,Falco peregrinus
pi_grosbek,Pine Grosbeak,Pinicola enucleator
pi_guilmot,Pigeon Guillemot,Cepphus columba
pin_siskin,Pine Siskin,Spinus pinus
pom_jaeger,Pomarine Jaeger,Stercorarius pomarinus
ps_flycach,Western Flycatcher,Empidonax difficilis
